username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
comunica2;2017-02-16 10:10;4;5;". @miqueldelpozo nos explica en #comunica2017 su trabajo en Twitter con el hashtag #MA140 . https:// twitter.com/miqueldelpozo/ status/592417972368584704 …";;@miqueldelpozo;#comunica2017 #MA140;"832155260978339841";https://twitter.com/comunica2/status/832155260978339841
comunica2;2017-02-16 10:09;0;0;". @migueldelpozo "Un tuit es un texto breve al que podemos incorporar una imagen, como una viñeta". #comunica2017";;@migueldelpozo;#comunica2017;"832154991880183808";https://twitter.com/comunica2/status/832154991880183808
AmaliaLopezAcer;2017-02-16 10:08;1;5;"Ya estamos en congreso de #RRSS !!! #Comunica2017 cc @comunica2 pic.twitter.com/KuV6IkKRs9";;@comunica2;#RRSS #Comunica2017;"832154756395188228";https://twitter.com/AmaliaLopezAcer/status/832154756395188228
comunica2;2017-02-16 10:07;1;0;". @miqueldelpozo : "en las redes sociales podemos emitir, contar nosotros la historia". Él cuenta historias de Arte. #comunica2017 #Gandia";;@miqueldelpozo;#comunica2017 #Gandia;"832154533606326273";https://twitter.com/comunica2/status/832154533606326273
afustermarco;2017-02-16 10:06;1;0;"@comunica2 @miqueldelpozo #MA140 (M)irar al (A)rte. Nuevas narrativas. pic.twitter.com/UuDT3X9DBC";;@comunica2 @miqueldelpozo;#MA140;"832154229359968256";https://twitter.com/afustermarco/status/832154229359968256
la_mers;2017-02-16 10:06;0;1;"Vinga, doncs que es deixen de tanta tonteria que el Comunica2 és una vegada a l'any :*";;;;"832154164507639808";https://twitter.com/la_mers/status/832154164507639808
comunica2;2017-02-16 10:06;0;0;"¡Muchas gracias @Nachomazo12 ! Esperamos que lo disfrutes tanto como nosotros ;)";;@Nachomazo12;;"832154123650945024";https://twitter.com/comunica2/status/832154123650945024
chernandez;2017-02-16 10:05;0;1;"Comencemos !!! #MA 140 !!! @comunica2 @campusgandiaupv pic.twitter.com/sDny7nHkFe";;@comunica2 @campusgandiaupv;#MA;"832153970114195456";https://twitter.com/chernandez/status/832153970114195456
andoci;2017-02-16 10:04;1;5;"Comienza el congreso sobre #rrss @comunica2 Allí estuvimos "comunicando" @belenbbb y yo en la 3a. ed. http:// comunica2.webs.upv.es/edicion-2013/c omunicaciones-2013/ … #comunica2017 pic.twitter.com/tUxO7i2V7P";;@comunica2 @belenbbb;#rrss #comunica2017;"832153675342741504";https://twitter.com/andoci/status/832153675342741504
GloriaVallet;2017-02-16 10:03;2;4;"Empezamos el @comunica2 con la mesa de Nuevas Narrativas con @miqueldelpozo , @cesartuit , @eldadodelarte , @mcarvajal_ #comunica2017";;@comunica2 @miqueldelpozo @cesartuit @eldadodelarte @mcarvajal_;#comunica2017;"832153372996272128";https://twitter.com/GloriaVallet/status/832153372996272128
comunica2;2017-02-16 10:02;4;3;"Como dice @borjateran , tenemos 'canal internacional' que podéis ver en http://www. comunica2gandia.com . Ahí está el streaming del #comunica2017";;@borjateran;#comunica2017;"832153202455764992";https://twitter.com/comunica2/status/832153202455764992
comunica2;2017-02-16 10:02;5;4;"La radio no mató a la prensa, la televisión no mató a la radio, e ¿internet? Internet nos aboca a nuevas narrativas en #comunica2017";;;#comunica2017;"832153078556217344";https://twitter.com/comunica2/status/832153078556217344
gradadeportiva_;2017-02-16 10:01;1;3;"Presentes en @comunica2 . Siempre atentos a las novedades de las Redes Sociales. https:// twitter.com/technosm_/stat us/831939968029294593 …";;@comunica2;;"832152983341264897";https://twitter.com/gradadeportiva_/status/832152983341264897
la_mers;2017-02-16 10:01;0;1;"Tu pren nota de tot i quan vaja per la terreta em poses al dia ;)";;;;"832152972662562816";https://twitter.com/la_mers/status/832152972662562816
pilarsanchezupv;2017-02-16 10:01;0;3;"Primera charla del @comunica2 tras la inauguración en @campusgandiaupv, Nuevas narrativas #Comunica2017 pic.twitter.com/UWPZSZ0f5m";;@comunica2 @campusgandiaupv;#Comunica2017;"832152935899492353";https://twitter.com/pilarsanchezupv/status/832152935899492353
_AntonioGuerra_;2017-02-16 10:01;1;2;"Sigue en directo el congreso sobre #RRSS @comunica2 vía http:// comunica2.webs.upv.es / @campusgandiaupv @UPV #SocialMedia #comunica2017 pic.twitter.com/Bp9ISRIiIo";;@comunica2 @campusgandiaupv @UPV;#RRSS #SocialMedia #comunica2017;"832152864227201024";https://twitter.com/_AntonioGuerra_/status/832152864227201024
comunica2;2017-02-16 10:00;7;10;"¡Inauguración del #comunica2017 ! Con @rebeca10ten , @DianaMorantR , @jesalbaEPSG y @MargaTwita #Gandia pic.twitter.com/O7ZfQzMFFq";;@rebeca10ten @DianaMorantR @jesalbaEPSG @MargaTwita;#comunica2017 #Gandia;"832152771155595266";https://twitter.com/comunica2/status/832152771155595266
xqTTs;2017-02-16 10:00;0;2;"Hoy empieza @comunica2 , Congreso Internacional sobre Redes Sociales en Gandia. Se puede seguir en el HT #comunica17 . ¡Y ya es TT! pic.twitter.com/HgF4Bnv0HV";;@comunica2;#comunica17;"832152753979928577";https://twitter.com/xqTTs/status/832152753979928577
