username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FontAdria;2019-03-31 22:55;0;2;"Évole al Papa: usted fue toda una revolución al llegar al Vaticano. Es usted muy famoso ahora. - ¿Y que le añade eso a mi verdad? #salvadospapa";;;#salvadospapa;"1112458402192674817";https://twitter.com/FontAdria/status/1112458402192674817
AlfonRoldan;2019-03-31 22:55;0;1;"Ha faltado alguna pregunta relativa con el cambio climático, el calentamiento global al @Pontifex_es #SalvadosPapa para que provocará a las grandes corporaciones, a Trump, a los negacionistas... @jordievole para ayudar a concienciar también a católicos pic.twitter.com/iYym00W6NH";;@Pontifex_es @jordievole;#SalvadosPapa;"1112458397302042624";https://twitter.com/AlfonRoldan/status/1112458397302042624
kikellorente;2019-03-31 22:55;0;2;"Reza por mí, y si no rezas, envíame buena onda. #SalvadosPapa @jordievole @Pontifex_es";;@jordievole @Pontifex_es;#SalvadosPapa;"1112458392902266880";https://twitter.com/kikellorente/status/1112458392902266880
FabiolaMeco;2019-03-31 22:55;0;7;"Felicidades @jordievole por esa entrevista #SalvadosPapa de @salvadostv . Seguro que tu madre está orgullosa.";;@jordievole @salvadostv;#SalvadosPapa;"1112458391316770817";https://twitter.com/FabiolaMeco/status/1112458391316770817
MalditaSea_Muc;2019-03-31 22:55;0;0;"No como la iglesia, que tiene un banco propio porque le pilla lejos la Caja Rural #SalvadosPapa pic.twitter.com/DdNO7eWaVg";;;#SalvadosPapa;"1112458369229561857";https://twitter.com/MalditaSea_Muc/status/1112458369229561857
TerronAngeles;2019-03-31 22:55;0;3;"Francisco se ha retratado en su gesto final: Ser el primero en extender su mano. Coherencia adorable! Grande! #SalvadosPapa";;;#SalvadosPapa;"1112458367551836162";https://twitter.com/TerronAngeles/status/1112458367551836162
SalaIvars;2019-03-31 22:55;1;0;"El papa NO mola #SalvadosPapa";;;#SalvadosPapa;"1112458366658449408";https://twitter.com/SalaIvars/status/1112458366658449408
VeriCaducat_;2019-03-31 22:55;3;3;"Vuestro Papa progresista tratando la homosexualidad como un trastorno mental #SalvadosPapa https:// twitter.com/salvadostv/sta tus/1112451435222966272 …";;;#SalvadosPapa;"1112458364636856320";https://twitter.com/VeriCaducat_/status/1112458364636856320
MjosePintor;2019-03-31 22:55;1;6;"Qué pedazo entrevista #SalvadosPapa de @jordievole . Enhorabuena! Esta profesión, el #Periodismo , tiene esperanza @fape_fape @apv_valladolid @salvadostv @laSextaTV https:// twitter.com/jordievole/sta tus/1112447562668228608 …";;@jordievole @fape_fape @apv_valladolid @salvadostv @laSextaTV;#SalvadosPapa #Periodismo;"1112458363642761218";https://twitter.com/MjosePintor/status/1112458363642761218
bringbackthenew;2019-03-31 22:55;0;0;"#SalvadosPapa En verdad se nota que este Papa quiere renovar la Iglesia y abrir la mente a los católicos con respecto a los valores que tiene la sociedad occidental hoy en día. En el tema de la homosexualidad envía el mensaje de acudir a un profesional (psicólogo o psiquiatra)";;;#SalvadosPapa;"1112458360899682304";https://twitter.com/bringbackthenew/status/1112458360899682304
